clave,desc,exist_parcial,existencia,precio_c,precio_v,valor_costo,valor_venta
04OLIM0434,OLIMPICA ROJO,0.0,0.0,70.0,121.8,0.0,0.0
04OLIM0414,OLIMPICA REY,0.0,0.0,70.0,121.8,0.0,0.0
04OLIM0276,OLIMPICA MARINO,0.0,3421.8,70.0,121.8,239526.0,416775.24
04OLIM1854,OLIMPICA VINO,0.0,0.0,70.0,121.8,0.0,0.0
FILCRU88601-46,75/72/2 100% POL SIM ROYAL,0.0,0.0,0.0,0.0,0.0,0.0
FILTEÑ58991-21,300/96 DTY 100% POLIESTER SD NIM C/G NEGRO,0.0,3557.7,30.0,44.08,106731.0,156823.42
DEPPAN92196,PANAMA BLANCO,0.0,0.0,70.0,110.2,0.0,0.0
FILCRU78594-18,75/36 100% POL TEX NEGRO,0.0,27.5,30.0,42.92,825.0,1180.3
SINSIN45417,LIKRA 20 SPANDEX,0.0,0.0,80.0,116.0,0.0,0.0
FILTEÑ76663-47,150/48 DTY 100% POLIESTER SD NIM C/G DOBLE,0.0,698.92,30.0,53.36,20967.6,37294.37
FILTEÑ37833-47,150/48 100% POL TEX C/CH DOBLE BLACK,0.0,2.835,53.8,64.96,152.52,184.16
SINSIN49735,LIKRA 40 SPANDEX,0.0,0.0,80.0,127.6,0.0,0.0
HILFIL48714-32,100/96 DTY POLIESTER 100% RW SD SIM CRUDO,0.0,0.0,27.12,37.0,0.0,0.0
FILTAN88656-45,150/48+20 100% POL TANG BLANCO OPTICO T-286,0.0,116.87,55.0,58.0,6427.85,6778.46
DEPOLI44251,TORONTO BLANCO,0.0,4957.8,70.0,110.2,347046.0,546349.56
FILTEÑ14120,150/48 DTY 100% POLIESTER SD NIM C/G SUGAR,0.0,289.8,40.0,66.12,11592.0,19161.58
SINSIN95199,"HILO DTY NYLON 40/34 SD RW ""S""",0.0,0.0,0.0,104.4,0.0,0.0
SINSIN13496,"HILO DTY NYLON 40/34 SD RW ""Z""",0.0,0.0,0.0,104.4,0.0,0.0
SINSIN73620,LIKRA 70 SPANDEX,0.0,0.0,80.0,127.6,0.0,0.0
FILTEÑ37206,150/48 DTY 100% POLIESTER SD NIM C/G LATTE,0.0,45.82,40.0,66.12,1832.8,3029.62
FILTEÑ90940,150/48 DTY 100% POLIESTER SD NIM C/CH LATTE,0.0,0.41,70.0,77.72,28.7,31.87
FILTEÑ91947,150/48 100% POL TEX C/G BLANCO OPT-093,0.0,312.5219,40.0,58.0,12500.88,18126.27
SINSIN37382,ROLLO VIEZ PIQUE ATLANTE POLIESTER 100%,0.0,0.0,0.0,133.0,0.0,0.0
HILFIL38413-33,150/48+20 DTY 100% POLIESTER SD TANG REY,0.0,74.26,50.0,59.16,3713.0,4393.22
FILTEÑ50969,300/96 100% POLIESTER NIM DTY CRUDO,0.0,0.0,30.0,44.08,0.0,0.0
SINSIN28135,ACY 20/40/34/1 NYLON CRUDO TORSION Z,0.0,0.0,53.8,116.0,0.0,0.0
FILCRU10094,75/36 DTY 100% POLIESTER SD SIM,0.0,0.0,30.0,42.92,0.0,0.0
SINSIN39550,LIKRA ACY 20/40/34/1 NYLON CRUDO TORCION Z,0.0,0.0,80.0,116.0,0.0,0.0
FILCRU38980,150/48/2 100% POL SIM,0.0,12620.0,40.0,42.92,504800.0,541650.4
SINSIN55626,HILO 30/1 POLIESTER 100% BLANCO OPTICO,0.0,0.0,0.0,56.84,0.0,0.0
FILTEÑ74012,300/96 100% POL TEX C/CH NEGRO,0.0,0.0,53.8,55.68,0.0,0.0
SINSIN59699,HILO POLIESTER SDRW 50/24/1 FDY,0.0,0.0,0.0,40.6,0.0,0.0
FILCRU76635,150/48/2 HIM DDB POLIESTER 100% DTY,0.0,0.0,40.0,40.6,0.0,0.0
FILCRU77702,HILO 100/144 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILACR93885,ACRLICO 1/28 BLANCO,0.0,0.0,0.0,0.0,0.0,0.0
DEPPAR96681,PARAGUAY BLANCO,0.0,15836.3,70.0,106.72,1108541.0,1690049.94
HILACR29104,ACRLICO 2/28 OXFORD,0.0,0.0,0.0,0.0,0.0,0.0
HILACR28441,ACRLICO 2/28 NEGRO,0.0,0.0,0.0,0.0,0.0,0.0
HILACR84195,ACRLICO 2/28 SESAME,0.0,0.0,0.0,0.0,0.0,0.0
FILCRU19501,HILO 75/144/2 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
DEPOLI49272,PIQUE VERA BLANCO,0.0,0.0,70.0,86.0,0.0,0.0
FILCRU38383,HILO 75/144 DTY 100% POLIESTER RW SD SIM,0.0,0.0,0.0,0.0,0.0,0.0
HILFIL32961,20/1 POL MONOFILAMENTO 280,0.0,0.0,0.0,61.48,0.0,0.0
DEPOLI79231,TORONTO NEGRO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI32296,TORONTO MARINO NAVY,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI36031,TORONTO ROJO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI25680,PANAMA NEGRO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI71835,PANAMA MARINO CLARO,0.0,0.0,70.0,121.8,0.0,0.0
DEPOLI69948,PANAMA MARINO NAVY,0.0,0.0,70.0,121.8,0.0,0.0
SINSIN49549,HILO POLIESTER SDRW 45/24 FDY,0.0,0.0,0.0,40.6,0.0,0.0
SINSIN79991,HILO POLIESTER SDRW 75/36 FDY,0.0,0.0,0.0,42.92,0.0,0.0
FILTEÑ15550,150/48 DTY 100% POLIESTER SD NIM C/G GRIS,0.0,10307.15,40.0,71.92,412286.0,741290.23
FILTEÑ78202,150/48 DTY 100% POLIESTER SD NIM C/G TRIGO,0.0,2694.05,40.0,66.12,107762.0,178130.59
FILTEÑ63562,150/48 DTY 100% POLIESTER SD NIM C/CH TRIGO,0.0,479.68,40.0,77.72,19187.2,37280.73
FILTEÑ44237,150/48 100% POL TANG LATTE M6044,0.0,29.46,40.0,53.36,1178.4,1571.99
SINSIN45484,LIKRA 55 SPANDEX,0.0,0.0,80.0,116.0,0.0,0.0
